date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:53	115/115	---MCZ	200	added ('OK')	text/plain	date:Mon,%2006%20Oct%202025%2013:48:53%20GMT	http://imagine-export.local/robots.txt		(from )
15:48:53	56555/56555	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Oct%202025%2013:48:53%20GMT	http://imagine-export.local/	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/index.html	(from )
15:48:54	116345/116345	---MCZ	200	added ('OK')	text/css	etag:W/%22686d16f8-1c679%22	http://imagine-export.local/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-includes/css/dist/block-library/style.min32d4.css	(from http://imagine-export.local/)
15:48:54	16245/16245	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3a9f7-3f75%22	http://imagine-export.local/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=2.3.1	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min254d.css	(from http://imagine-export.local/)
15:48:54	10417/10417	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%225b20c7eaaad94da3b13c8ae9f7a8a95f%22	http://imagine-export.local/feed/	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/feed/index.html	(from http://imagine-export.local/)
15:48:54	46123/46123	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3aa34-b42b%22	http://imagine-export.local/wp-content/themes/ecocoded/style.css?ver=6.8.3	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/themes/ecocoded/style32d4.css	(from http://imagine-export.local/)
15:48:55	785/785	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%225b20c7eaaad94da3b13c8ae9f7a8a95f%22	http://imagine-export.local/comments/feed/	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/comments/feed/index.html	(from http://imagine-export.local/)
15:48:55	30999/30999	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3a9fd-7917%22	http://imagine-export.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://imagine-export.local/)
15:48:55	47945/47945	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3aa34-bb49%22	http://imagine-export.local/wp-content/themes/esport-x-gaming/style.css?ver=6.8.3	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/themes/esport-x-gaming/style32d4.css	(from http://imagine-export.local/)
15:48:55	53614/53614	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3a9f8-d16e%22	http://imagine-export.local/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.3	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/plugins/elementor/assets/css/frontend.min8e60.css	(from http://imagine-export.local/)
15:48:56	1166/1166	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3aa38-48e%22	http://imagine-export.local/wp-content/uploads/elementor/css/post-127.css?ver=1759484721	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/uploads/elementor/css/post-1270f13.css	(from http://imagine-export.local/)
15:48:56	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3a9f8-258%22	http://imagine-export.local/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.3	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/plugins/elementor/assets/css/widget-heading.min8e60.css	(from http://imagine-export.local/)
15:48:56	10470/10470	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3a9f8-28e6%22	http://imagine-export.local/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.32.3	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/plugins/elementor/assets/css/widget-icon-list.min8e60.css	(from http://imagine-export.local/)
15:48:56	2835/2835	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3aa38-b13%22	http://imagine-export.local/wp-content/uploads/elementor/css/post-2.css?ver=1759484721	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/uploads/elementor/css/post-20f13.css	(from http://imagine-export.local/)
15:48:56	107406/107406	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3aa38-1a38e%22	http://imagine-export.local/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1753440417	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/uploads/elementor/google-fonts/css/roboto9c98.css	(from http://imagine-export.local/)
15:48:56	24948/24948	---MCZ	200	added ('OK')	text/css	etag:W/%2268e3aa38-6174%22	http://imagine-export.local/wp-content/uploads/elementor/google-fonts/css/robotoslab.css?ver=1753431510	C:/Users/nicoc/Desktop/GitHub/Imagine-Web/imagine_HTML/imagine-export.local/wp-content/uploads/elementor/google-fonts/css/robotoslab4eaf.css	(from http://imagine-export.local/)
